,zip_code,store_count
413,8001,3
414,8002,2
415,8003,1
416,8004,3
417,8005,4
418,8006,1
419,8008,4
420,8037,2
421,8038,2
422,8041,2
423,8044,1
424,8045,1
425,8046,1
426,8047,3
427,8048,2
428,8049,1
429,8050,1
430,8051,1
431,8052,1
432,8053,2
433,8055,1
434,8057,1
435,8058,1
436,8064,1
